Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D
TYRA,TYRA,Business description unavailable.,USD,25.44,25.44,2025-12-30,7.06,2025-04-08,89.6,31.35,2021-11-04,5.26,2022-06-17,83.2,575776,0.0427,2022-06-23,6.0,2025-04-22,14.0,8.43,2025-04-14,2025-07-25,True
TMQ,TMQ,Business description unavailable.,USD,4.31,4.31,2025-12-30,1.08,2025-01-13,89.0,10.6,2025-10-14,3.52,2025-11-14,66.8,4478966,0.17,2025-12-04,20.0,2025-01-22,9.0,1.17,2025-05-16,2025-07-08,True
CBLL,CBLL,Business description unavailable.,USD,21.71,21.71,2025-12-30,10.92,2025-11-04,87.8,30.24,2024-12-06,10.92,2025-11-04,63.9,554170,0.0372,2025-11-21,17.0,2025-11-21,17.0,10.92,2025-11-04,2025-11-21,True
MLTX,MLTX,Business description unavailable.,USD,13.21,13.21,2025-12-30,6.24,2025-09-29,87.1,63.86,2024-02-12,6.24,2025-09-29,90.2,1752576,0.0432,2025-10-03,4.0,2025-10-03,4.0,6.24,2025-09-29,2025-10-03,True
IMNM,IMNM,Business description unavailable.,USD,21.18,21.18,2025-12-30,5.56,2025-04-08,86.8,43.24,2021-02-24,2.21,2022-12-30,94.9,2365563,0.0547,2023-01-03,4.0,2025-04-14,6.0,7.17,2025-04-16,2025-06-10,True
VSCO,VSCO,Business description unavailable.,USD,54.77,54.77,2025-12-30,14.87,2025-04-03,86.6,74.77,2021-08-13,14.3,2023-10-05,80.9,2903886,0.0365,2023-10-20,15.0,2025-04-09,6.0,15.62,2025-04-16,2025-05-12,True
FOLD,FOLD,Business description unavailable.,USD,14.25,14.25,2025-12-30,5.64,2025-06-20,84.8,24.23,2020-12-24,5.64,2025-06-20,76.7,13230883,0.0377,2025-08-15,56.0,2025-08-15,56.0,5.64,2025-06-20,2025-08-15,True
AXGN,AXGN,Business description unavailable.,USD,32.73,32.73,2025-12-30,9.29,2025-06-18,83.2,33.45,2025-12-29,,,,908270,0.0401,,,2025-07-22,34.0,9.29,2025-06-18,2025-07-22,True
FTRE,FTRE,Business description unavailable.,USD,17.38,17.38,2025-12-30,4.06,2025-05-23,82.6,40.28,2024-04-09,4.06,2025-05-23,89.9,1326750,0.0521,2025-06-06,14.0,2025-06-06,14.0,4.06,2025-05-23,2025-06-06,True
EB,EB,Business description unavailable.,USD,4.44,4.44,2025-12-30,1.84,2025-04-08,82.0,25.81,2021-03-15,1.84,2025-04-08,92.9,2053673,0.0796,2025-05-09,31.0,2025-05-09,31.0,2.1,2025-04-25,2025-08-18,True
